video_fname, participant, experiment, clip_t0_unix, t0_min, timebin, playlist, valid, annotator1, annotator2,,
edstra,2,3,1519624396,100,5,3,1,3,4,1519650796,2018/02/26-13:13:16
egaces,2,2,1518672897,80,4,3,1,3,3,1518700497,2018/02/15-13:14:57
eggets,3,1,1518501005,60,3,3,1,3,3,1518529805,2018/02/13-13:50:05
ekidaq,2,1,1518068109,80,4,3,1,4,4,1518095709,2018/02/08-13:15:09
elblus,3,2,1519110408,105,5,3,1,2,3,1519136508,2018/02/20-14:21:48
elludg,3,1,1518502505,85,4,3,1,5,5,1518529805,2018/02/13-13:50:05
empowd,3,3,1519194199,60,3,3,1,2,3,1519222999,2018/02/21-14:23:19
enclog,2,3,1519624996,110,5,4,1,3,3,1519650796,2018/02/26-13:13:16
enesqu,3,1,1518498905,25,2,4,1,5,4,1518529805,2018/02/13-13:50:05
eonsfe,3,1,1518499805,40,2,4,1,5,3,1518529805,2018/02/13-13:50:05
eratin,4,1,1518661273,110,5,4,1,4,4,1518687073,2018/02/15-09:31:13
ernain,4,2,1519365051,90,4,4,1,1,2,1519392051,2018/02/23-13:20:51
ernamp,5,3,1519349311,5,1,4,1,1,2,1519381411,2018/02/23-10:23:31
ersans,5,2,1519178138,100,5,4,1,1,3,1519204538,2018/02/21-09:15:38
ershow,2,1,1518066909,60,3,4,1,5,5,1518095709,2018/02/08-13:15:09
esidna,3,2,1519104708,10,1,4,1,1,2,1519136508,2018/02/20-14:21:48
essups,5,1,1519087204,10,1,4,1,3,4,1519119004,2018/02/20-09:30:04
exhora,5,1,1519090204,60,3,4,1,5,5,1519119004,2018/02/20-09:30:04
faysms,1,2,1517540475,105,5,4,1,3,2,1517566575,2018/02/02-10:16:15
fledir,1,2,1517538375,70,3,4,1,3,2,1517566575,2018/02/02-10:16:15
flitio,5,1,1519086904,5,1,4,0,4,3,1519119004,2018/02/20-09:30:04
flussi,2,3,1519619896,25,2,4,1,4,2,1519650796,2018/02/26-13:13:16
ggessa,2,1,1518068409,85,4,4,1,5,4,1518095709,2018/02/08-13:15:09
ggorso,2,3,1519618696,5,1,4,0,3,5,1519650796,2018/02/26-13:13:16
giesig,5,2,1519172438,5,1,4,1,1,1,1519204538,2018/02/21-09:15:38
haiwor,5,3,1519354111,85,4,4,1,3,5,1519381411,2018/02/23-10:23:31
hdersi,4,1,1518655573,15,1,5,1,3,4,1518687073,2018/02/15-09:31:13
hoomel,5,3,1519353811,80,4,5,1,3,5,1519381411,2018/02/23-10:23:31
huspul,3,2,1519107708,60,3,5,1,3,1,1519136508,2018/02/20-14:21:48
iastam,2,1,1518065709,40,2,5,1,5,4,1518095709,2018/02/08-13:15:09
ibulsi,1,1,1517465211,15,1,5,1,3,2,1517496711,2018/02/01-14:51:51
ifilly,1,2,1517534775,10,1,5,1,1,1,1517566575,2018/02/02-10:16:15
ifings,5,2,1519173038,15,1,5,1,2,2,1519204538,2018/02/21-09:15:38
ilyste,3,2,1519105608,25,2,5,1,2,2,1519136508,2018/02/20-14:21:48
inabbe,4,1,1518660673,100,5,5,1,4,5,1518687073,2018/02/15-09:31:13
ineyes,1,2,1517540775,110,5,5,1,3,2,1517566575,2018/02/02-10:16:15
ingest,3,1,1518503705,105,5,5,1,3,3,1518529805,2018/02/13-13:50:05
ingspe,3,2,1519110708,110,5,5,0,2,3,1519136508,2018/02/20-14:21:48
intsco,2,2,1518674697,110,5,5,1,1,2,1518700497,2018/02/15-13:14:57
intsiv,1,3,1518487664,85,4,5,1,4,4,1518514964,2018/02/13-09:42:44
ionsug,1,3,1518486764,70,3,5,1,4,4,1518514964,2018/02/13-09:42:44
ippirs,3,3,1519193599,50,3,5,1,2,3,1519222999,2018/02/21-14:23:19
iserin,5,2,1519174538,40,2,5,1,1,3,1519204538,2018/02/21-09:15:38
ispecz,3,1,1518501605,70,3,5,1,5,5,1518529805,2018/02/13-13:50:05
itacat,2,1,1518069909,110,5,5,1,5,5,1518095709,2018/02/08-13:15:09
iumble,4,2,1519359951,5,1,6,1,1,1,1519392051,2018/02/23-13:20:51
iverne,4,1,1518657673,50,3,6,1,5,5,1518687073,2018/02/15-09:31:13
ivesse,5,3,1519349911,15,1,6,1,3,3,1519381411,2018/02/23-10:23:31
ivioch,5,3,1519350811,30,2,6,0,2,3,1519381411,2018/02/23-10:23:31
izessm,5,1,1519092004,90,4,6,0,1,3,1519119004,2018/02/20-09:30:04
izookk,1,3,1518484064,25,2,6,1,3,3,1518514964,2018/02/13-09:42:44
jurkin,4,3,1519796471,85,4,6,1,1,3,1519823771,2018/02/28-13:16:11
karell,2,2,1518669597,25,2,6,1,4,4,1518700497,2018/02/15-13:14:57
kaside,1,3,1518483164,10,1,6,1,3,3,1518514964,2018/02/13-09:42:44
kernan,2,3,1519623496,85,4,6,1,4,3,1519650796,2018/02/26-13:13:16
kidalv,1,2,1517537175,50,3,6,1,4,2,1517566575,2018/02/02-10:16:15
kikeel,3,3,1519192399,30,2,6,1,4,2,1519222999,2018/02/21-14:23:19
kknest,1,2,1517535975,30,2,6,1,4,2,1517566575,2018/02/02-10:16:15
klingi,5,1,1519092904,105,5,6,0,4,0,1519119004,2018/02/20-09:30:04
legmas,4,3,1519791671,5,1,6,1,3,4,1519823771,2018/02/28-13:16:11
lently,1,2,1517535075,15,1,6,1,4,2,1517566575,2018/02/02-10:16:15
lerros,1,1,1517469711,90,4,6,1,4,4,1517496711,2018/02/01-14:51:51
levese,1,3,1518484964,40,2,6,1,3,3,1518514964,2018/02/13-09:42:44
litono,2,3,1519619296,15,1,6,1,1,3,1519650796,2018/02/26-13:13:16
lksmsf,5,1,1519090804,70,3,7,1,4,5,1519119004,2018/02/20-09:30:04
llesss,3,1,1518498005,10,1,7,1,5,5,1518529805,2018/02/13-13:50:05
llisca,5,3,1519354411,90,4,7,1,3,3,1519381411,2018/02/23-10:23:31
llsomp,1,1,1517464611,5,1,7,1,3,2,1517496711,2018/02/01-14:51:51
lovasa,2,1,1518064209,15,1,7,1,5,5,1518095709,2018/02/08-13:15:09
manduc,4,1,1518659773,85,4,7,1,3,4,1518687073,2018/02/15-09:31:13
medles,1,1,1517469111,80,4,7,1,2,2,1517496711,2018/02/01-14:51:51
mights,3,3,1519191499,15,1,7,1,2,2,1519222999,2018/02/21-14:23:19
mintri,4,2,1519361451,30,2,7,1,1,1,1519392051,2018/02/23-13:20:51
mocifi,1,1,1517470911,110,5,7,1,3,2,1517496711,2018/02/01-14:51:51
monsit,5,3,1519351411,40,2,7,1,2,3,1519381411,2018/02/23-10:23:31
mosssa,3,3,1519192099,25,2,7,1,3,3,1519222999,2018/02/21-14:23:19
mpsagr,3,1,1518497705,5,1,7,1,5,4,1518529805,2018/02/13-13:50:05
nabwal,1,1,1517464911,10,1,7,1,2,2,1517496711,2018/02/01-14:51:51
natmas,1,1,1517466111,30,2,7,1,1,2,1517496711,2018/02/01-14:51:51
nberga,1,1,1517470611,105,5,7,1,3,4,1517496711,2018/02/01-14:51:51
ndavai,5,2,1519173638,25,2,7,1,1,2,1519204538,2018/02/21-09:15:38
ndersh,4,3,1519795571,70,3,7,1,1,3,1519823771,2018/02/28-13:16:11
ndezip,2,2,1518671097,50,3,7,1,2,4,1518700497,2018/02/15-13:14:57
ndigna,2,2,1518668997,15,1,8,1,2,2,1518700497,2018/02/15-13:14:57
neroli,2,2,1518674097,100,5,8,1,3,3,1518700497,2018/02/15-13:14:57
nesssi,1,2,1517540175,100,5,8,1,2,2,1517566575,2018/02/02-10:16:15
netsus,3,1,1518502205,80,4,8,1,3,3,1518529805,2018/02/13-13:50:05
newact,1,1,1517468511,70,3,8,1,1,2,1517496711,2018/02/01-14:51:51
ninged,5,2,1519175138,50,3,8,1,1,4,1519204538,2018/02/21-09:15:38
nizene,2,3,1519623796,90,4,8,1,3,4,1519650796,2018/02/26-13:13:16
nkilds,1,1,1517467311,50,3,8,1,1,2,1517496711,2018/02/01-14:51:51
nnizzw,4,1,1518656473,30,2,8,1,5,5,1518687073,2018/02/15-09:31:13
nstins,2,2,1518668697,10,1,8,1,1,3,1518700497,2018/02/15-13:14:57
nterat,4,3,1519796171,80,4,8,1,2,3,1519823771,2018/02/28-13:16:11
nticat,4,2,1519360251,10,1,8,1,1,1,1519392051,2018/02/23-13:20:51
ntinal,5,3,1519352011,50,3,8,1,4,3,1519381411,2018/02/23-10:23:31
ntlerm,4,3,1519793771,40,2,8,1,2,3,1519823771,2018/02/28-13:16:11
nuptit,1,2,1517536575,40,2,8,1,1,2,1517566575,2018/02/02-10:16:15
obalie,2,2,1518673497,90,4,8,1,3,2,1518700497,2018/02/15-13:14:57
oghbas,1,1,1517469411,85,4,8,1,2,3,1517496711,2018/02/01-14:51:51
oleboo,2,3,1519622596,70,3,8,1,2,3,1519650796,2018/02/26-13:13:16
ollopi,4,3,1519792271,15,1,8,1,2,4,1519823771,2018/02/28-13:16:11
onasta,5,1,1519091404,80,4,9,1,5,5,1519119004,2018/02/20-09:30:04
onjanv,4,3,1519794371,50,3,9,1,2,2,1519823771,2018/02/28-13:16:11
onnouc,5,3,1519349611,10,1,9,1,1,2,1519381411,2018/02/23-10:23:31
onstan,5,2,1519177238,85,4,9,1,2,3,1519204538,2018/02/21-09:15:38
optify,3,2,1519109508,90,4,9,1,4,3,1519136508,2018/02/20-14:21:48
oretio,4,3,1519793171,30,2,9,1,3,3,1519823771,2018/02/28-13:16:11
osssur,2,2,1518673197,85,4,9,1,3,2,1518700497,2018/02/15-13:14:57
pabsco,3,2,1519108908,80,4,9,1,4,2,1519136508,2018/02/20-14:21:48
paying,4,1,1518660973,105,5,9,1,5,5,1518687073,2018/02/15-09:31:13
pedack,5,1,1519092604,100,5,9,0,0,0,1519119004,2018/02/20-09:30:04
plarot,2,2,1518671697,60,3,9,1,4,2,1518700497,2018/02/15-13:14:57
plater,1,3,1518488864,105,5,9,1,3,3,1518514964,2018/02/13-09:42:44
plathu,1,3,1518486164,60,3,9,1,2,2,1518514964,2018/02/13-09:42:44
polews,1,2,1517539575,90,4,9,1,5,4,1517566575,2018/02/02-10:16:15
poneda,1,3,1518487364,80,4,9,1,3,3,1518514964,2018/02/13-09:42:44
poppec,4,2,1519365651,100,5,9,1,2,3,1519392051,2018/02/23-13:20:51
posens,1,2,1517539275,85,4,9,1,2,3,1517566575,2018/02/02-10:16:15
ppiqui,5,2,1519172738,10,1,9,1,2,2,1519204538,2018/02/21-09:15:38
proomp,4,1,1518658273,60,3,9,1,4,5,1518687073,2018/02/15-09:31:13
psesst,4,3,1519794971,60,3,10,1,1,3,1519823771,2018/02/28-13:16:11
psonsp,5,1,1519087504,15,1,10,1,4,5,1519119004,2018/02/20-09:30:04
pulehi,4,2,1519364751,85,4,10,1,1,2,1519392051,2018/02/23-13:20:51
pyrame,1,3,1518488564,100,5,10,1,1,3,1518514964,2018/02/13-09:42:44
rachil,4,1,1518657073,40,2,10,1,4,5,1518687073,2018/02/15-09:31:13
rantss,5,2,1519178438,105,5,10,0,1,3,1519204538,2018/02/21-09:15:38
ratede,5,1,1519088104,25,2,10,1,5,5,1519119004,2018/02/20-09:30:04
ratsid,4,2,1519360551,15,1,10,1,1,1,1519392051,2018/02/23-13:20:51
recurf,1,3,1518482864,5,1,10,1,1,2,1518514964,2018/02/13-09:42:44
reekin,1,2,1517534475,5,1,10,1,1,1,1517566575,2018/02/02-10:16:15
reende,4,1,1518658873,70,3,10,1,5,4,1518687073,2018/02/15-09:31:13
rellsw,3,3,1519191199,10,1,10,1,1,2,1519222999,2018/02/21-14:23:19
rivend,1,2,1517537775,60,3,10,1,2,2,1517566575,2018/02/02-10:16:15
rkyser,3,1,1518504005,110,5,10,1,3,2,1518529805,2018/02/13-13:50:05
rmatin,2,3,1519620796,40,2,10,1,2,3,1519650796,2018/02/26-13:13:16
rmstro,4,1,1518656173,25,2,10,1,5,4,1518687073,2018/02/15-09:31:13
rottly,3,3,1519195699,85,4,10,1,1,2,1519222999,2018/02/21-14:23:19
rtumed,3,2,1519104408,5,1,10,0,1,3,1519136508,2018/02/20-14:21:48
rudbau,3,2,1519108308,70,3,10,1,2,3,1519136508,2018/02/20-14:21:48
saccad,5,1,1519093204,110,5,11,0,0,0,1519119004,2018/02/20-09:30:04
scoatc,2,3,1519623196,80,4,11,1,2,3,1519650796,2018/02/26-13:13:16
sivese,3,3,1519194799,70,3,11,1,1,2,1519222999,2018/02/21-14:23:19
smshst,2,1,1518068709,90,4,11,1,5,5,1518095709,2018/02/08-13:15:09
souspi,3,3,1519190899,5,1,11,1,1,2,1519222999,2018/02/21-14:23:19
stessi,4,3,1519797971,110,5,11,1,1,3,1519823771,2018/02/28-13:16:11
stfore,3,3,1519192999,40,2,11,1,1,3,1519222999,2018/02/21-14:23:19
strunk,4,3,1519796771,90,4,11,1,2,3,1519823771,2018/02/28-13:16:11
stsiti,4,2,1519362051,40,2,11,1,1,2,1519392051,2018/02/23-13:20:51
subeal,5,2,1519175738,60,3,11,1,1,2,1519204538,2018/02/21-09:15:38
tander,3,1,1518502805,90,4,11,1,3,3,1518529805,2018/02/13-13:50:05
taramu,2,3,1519620196,30,2,11,1,2,3,1519650796,2018/02/26-13:13:16
tatorr,5,3,1519352611,60,3,11,1,3,4,1519381411,2018/02/23-10:23:31
tedson,4,3,1519792871,25,2,11,1,2,4,1519823771,2018/02/28-13:16:11
tessli,5,2,1519176938,80,4,11,1,2,2,1519204538,2018/02/21-09:15:38
thmack,3,3,1519196899,105,5,11,1,2,3,1519222999,2018/02/21-14:23:19
tipyre,2,2,1518668397,5,1,11,1,2,3,1518700497,2018/02/15-13:14:57
tivern,4,3,1519791971,10,1,11,1,2,3,1519823771,2018/02/28-13:16:11
turald,5,2,1519176338,70,3,11,1,2,3,1519204538,2018/02/21-09:15:38
uddilt,3,2,1519109208,85,4,12,1,4,3,1519136508,2018/02/20-14:21:48
uidscu,3,3,1519195999,90,4,12,1,1,2,1519222999,2018/02/21-14:23:19
ungssi,5,1,1519089004,40,2,12,1,4,5,1519119004,2018/02/20-09:30:04
ussiss,3,1,1518498305,15,1,12,1,5,5,1518529805,2018/02/13-13:50:05
ustshr,2,1,1518066309,50,3,12,1,5,5,1518095709,2018/02/08-13:15:09
verloy,4,1,1518660073,90,4,12,1,2,4,1518687073,2018/02/15-09:31:13
vistar,5,3,1519353211,70,3,12,1,3,4,1519381411,2018/02/23-10:23:31
volics,2,2,1518672297,70,3,12,1,3,3,1518700497,2018/02/15-13:14:57
waning,3,2,1519105908,30,2,12,1,2,2,1519136508,2018/02/20-14:21:48
witort,1,1,1517466711,40,2,12,1,1,3,1517496711,2018/02/01-14:51:51
xcusne,2,1,1518067509,70,3,12,1,4,5,1518095709,2018/02/08-13:15:09
xingss,2,3,1519621396,50,3,12,1,2,2,1519650796,2018/02/26-13:13:16
yballe,3,3,1519196599,100,5,12,1,2,3,1519222999,2018/02/21-14:23:19
ysicin,5,1,1519091704,85,4,12,1,4,5,1519119004,2018/02/20-09:30:04
zangsp,1,1,1517465811,25,2,12,1,1,3,1517496711,2018/02/01-14:51:51
zatior,5,1,1519088404,30,2,12,1,3,4,1519119004,2018/02/20-09:30:04
