video_fname, participant, experiment, tstart, timebin, playlist, valid, annotator1, annotator2
levese,1,3,40,2,6,1,3,3
litono,2,3,15,1,6,1,1,3
lksmsf,5,1,70,3,7,1,4,5
llesss,3,1,10,1,7,1,5,5
llisca,5,3,90,4,7,1,3,3
llsomp,1,1,5,1,7,1,3,2
lovasa,2,1,15,1,7,1,5,5
manduc,4,1,85,4,7,1,3,4
medles,1,1,80,4,7,1,2,2
mights,3,3,15,1,7,1,2,2
mintri,4,2,30,2,7,1,1,1
mocifi,1,1,110,5,7,1,3,2
monsit,5,3,40,2,7,1,2,3
mosssa,3,3,25,2,7,1,3,3
mpsagr,3,1,5,1,7,1,5,4
nabwal,1,1,10,1,7,1,2,2
natmas,1,1,30,2,7,1,1,2
nberga,1,1,105,5,7,1,3,4
ndavai,5,2,25,2,7,1,1,2
ndersh,4,3,70,3,7,1,1,3
ndezip,2,2,50,3,7,1,2,4
ndigna,2,2,15,1,8,1,2,2
neroli,2,2,100,5,8,1,3,3
nesssi,1,2,100,5,8,1,2,2
netsus,3,1,80,4,8,1,3,3
newact,1,1,70,3,8,1,1,2
ninged,5,2,50,3,8,1,1,4
nizene,2,3,90,4,8,1,3,4
nkilds,1,1,50,3,8,1,1,2
nnizzw,4,1,30,2,8,1,5,5
nstins,2,2,10,1,8,1,1,3
nterat,4,3,80,4,8,1,2,3
nticat,4,2,10,1,8,1,1,1
ntinal,5,3,50,3,8,1,4,3
ntlerm,4,3,40,2,8,1,2,3
nuptit,1,2,40,2,8,1,1,2
obalie,2,2,90,4,8,1,3,2
oghbas,1,1,85,4,8,1,2,3
oleboo,2,3,70,3,8,1,2,3
ollopi,4,3,15,1,8,1,2,4
onasta,5,1,80,4,9,1,5,5
onjanv,4,3,50,3,9,1,2,2
onnouc,5,3,10,1,9,1,1,2
onstan,5,2,85,4,9,1,2,3
optify,3,2,90,4,9,1,4,3
oretio,4,3,30,2,9,1,3,3
osssur,2,2,85,4,9,1,3,2
pabsco,3,2,80,4,9,1,4,2
paying,4,1,105,5,9,1,5,5
pedack,5,1,100,5,9,0,0,0
plarot,2,2,60,3,9,1,4,2
plater,1,3,105,5,9,1,3,3
plathu,1,3,60,3,9,1,2,2
polews,1,2,90,4,9,1,5,4
poneda,1,3,80,4,9,1,3,3
poppec,4,2,100,5,9,1,2,3
posens,1,2,85,4,9,1,2,3
ppiqui,5,2,10,1,9,1,2,2
proomp,4,1,60,3,9,1,4,5
psesst,4,3,60,3,10,1,1,3
psonsp,5,1,15,1,10,1,4,5
pulehi,4,2,85,4,10,1,1,2
pyrame,1,3,100,5,10,1,1,3
rachil,4,1,40,2,10,1,4,5
rantss,5,2,105,5,10,0,1,3
ratede,5,1,25,2,10,1,5,5
ratsid,4,2,15,1,10,1,1,1
recurf,1,3,5,1,10,1,1,2
reekin,1,2,5,1,10,1,1,1
reende,4,1,70,3,10,1,5,4
rellsw,3,3,10,1,10,1,1,2
rivend,1,2,60,3,10,1,2,2
rkyser,3,1,110,5,10,1,3,2
rmatin,2,3,40,2,10,1,2,3
rmstro,4,1,25,2,10,1,5,4
rottly,3,3,85,4,10,1,1,2
rtumed,3,2,5,1,10,0,1,3
rudbau,3,2,70,3,10,1,2,3
saccad,5,1,110,5,11,0,0,0
scoatc,2,3,80,4,11,1,2,3
sivese,3,3,70,3,11,1,1,2
smshst,2,1,90,4,11,1,5,5
souspi,3,3,5,1,11,1,1,2
stessi,4,3,110,5,11,1,1,3
stfore,3,3,40,2,11,1,1,3
strunk,4,3,90,4,11,1,2,3
stsiti,4,2,40,2,11,1,1,2
subeal,5,2,60,3,11,1,1,2
tander,3,1,90,4,11,1,3,3
taramu,2,3,30,2,11,1,2,3
tatorr,5,3,60,3,11,1,3,4
tedson,4,3,25,2,11,1,2,4
tessli,5,2,80,4,11,1,2,2
thmack,3,3,105,5,11,1,2,3
tipyre,2,2,5,1,11,1,2,3
tivern,4,3,10,1,11,1,2,3
turald,5,2,70,3,11,1,2,3
uddilt,3,2,85,4,12,1,4,3
uidscu,3,3,90,4,12,1,1,2
ungssi,5,1,40,2,12,1,4,5
ussiss,3,1,15,1,12,1,5,5
ustshr,2,1,50,3,12,1,5,5
verloy,4,1,90,4,12,1,2,4
vistar,5,3,70,3,12,1,3,4
volics,2,2,70,3,12,1,3,3
waning,3,2,30,2,12,1,2,2
witort,1,1,40,2,12,1,1,3
xcusne,2,1,70,3,12,1,4,5
xingss,2,3,50,3,12,1,2,2
yballe,3,3,100,5,12,1,2,3
ysicin,5,1,85,4,12,1,4,5
zangsp,1,1,25,2,12,1,1,3
zatior,5,1,30,2,12,1,3,4
